Services-ID,Title,Is this service open?,Service type,Same phone number as organization?,Phone number,Level of service,Is this service a hotline?,Is this service an advice desk or walk-in clinic?,Average volume for this service,Same hours as location,Service availability,Is this location open at least weekly,Hours of operation,Dates and hours,Same holidays as location,Holiday schedule,Geolocation,Same income eligibility as location,Income eligibility and fees,Flat fee description,Sliding scale fees description,Max percentage of income standard,Amenities offered,Navigator availability,Is printing free for legal self-help center users?,Printing costs,Is scanning free for legal self-help center users?,Scanning costs,Is this service limited to specific populations?,An individual must be one of these to qualify,Featured content,Application process,Application form link,Process for applying by email,Process for applying by phone,Process for applying online,Process for walk-ins,Maximum callbacks per intake slot,Callback slots per applicant,Service is delivered,Website address,Organization ID,Location ID
51751,Free legal information and forms in Piatt County,Yes,Legal self-help center,Yes,(217) 763-5001,,,,,Yes,Fixed hours,Yes,Sunday: Closed Monday: 15:00-19:00  Tuesday: 10:00-17:00  Wednesday: 10:00-17:00  Thursday: 10:00-19:00  Friday: 10:00-17:00  Saturday: 10:00-12:00,,Yes,"New Year's Day

    New Year's Eve

    Martin Luther King, Jr. Day

    Lincoln's Birthday

    Memorial Day

    Independence Day

    Labor Day

    Columbus Day

    Veterans Day

    Thanksgiving

    Day after Thanksgiving

    Christmas Eve

    Christmas Day","Geolocation is 39.890715, -88.73213",Yes,Free to everyone,,,,"Computers & Internet

    Online court forms

    Online legal info

    Online referrals to legal help

    Printers

    Scanners",,No,$0.15 per page for black and white; $0.50 per page for color,No,Please ask library staff for scanning costs,No,,"Getting a divorce

    Forcing a parent to pay child support

    Getting an order of protection for domestic violence

    Being sued for mortgage foreclosure

    Evicting a tenant

    Expunging or sealing a criminal record",,,,,,,,,,http://www.hopeweltylibrary.com/,25581,51746
51731,Free legal information and forms in Piatt County,Yes,Legal self-help center,Yes,(217) 578-2727,,,,,Yes,Fixed hours,Yes,Sunday: Closed Monday: 9:00-17:00  Tuesday: 12:00-20:00  Wednesday: 12:00-20:00  Thursday: 12:00-20:00  Friday: 9:00-17:00  Saturday: 9:00-13:00,,Yes,"New Year's Day

    New Year's Eve

    Martin Luther King, Jr. Day

    Lincoln's Birthday

    Washington's Birthday

    Presidents' Day

    Memorial Day

    Independence Day

    Labor Day

    Columbus Day

    Veterans Day

    Thanksgiving

    Day after Thanksgiving

    Christmas Eve

    Christmas Day","Geolocation is 39.81432, -88.43688",Yes,Free to everyone,,,,"Computers & Internet

    WiFi

    Online court forms

    Online legal info

    Online referrals to legal help

    Printers",,No,$0.15 per page,,,No,,"Getting a divorce

    Forcing a parent to pay child support

    Getting an order of protection for domestic violence

    Being sued for mortgage foreclosure

    Evicting a tenant

    Expunging or sealing a criminal record",,,,,,,,,,http://www.ahlibrary.com/,25581,51726
51721,Free legal information and forms in Piatt County,Yes,Legal self-help center,Yes,(217) 762-4676,,,,,Yes,Fixed hours,Yes,Sunday: 13:00-17:00  Monday: 9:00-21:00  Tuesday: 9:00-18:00  Wednesday: 9:00-18:00  Thursday: 9:00-21:00  Friday: 9:00-18:00  Saturday: 9:00-17:00,,Yes,"New Year's Day

    New Year's Eve

    Memorial Day

    Independence Day

    Labor Day

    Thanksgiving

    Day after Thanksgiving

    Christmas Eve

    Christmas Day","Geolocation is 40.021922, -88.574094",Yes,Free to everyone,,,,"Computers & Internet

    WiFi

    Online court forms

    Online legal info

    Online referrals to legal help

    Printers",,No,$0.15 per page,,,No,,"Getting a divorce

    Forcing a parent to pay child support

    Getting an order of protection for domestic violence

    Being sued for mortgage foreclosure

    Evicting a tenant

    Expunging or sealing a criminal record",,,,,,,,,,http://monticellolibrary.org/,25581,27456
51716,Free legal information and forms in Shelby County,Yes,Legal self-help center,Yes,(217) 768-4700,,,,,Yes,Fixed hours,Yes,"Sunday: 9:00-12:00  Monday: 13:00-18:00  Tuesday: 13:00-17:00  Wednesday: 9:00-17:00  Thursday: Closed Friday: 9:00-12:00 , 13:00-17:00  Saturday: Closed",,Yes,"New Year's Day

    New Year's Eve

    Martin Luther King, Jr. Day

    Lincoln's Birthday

    Washington's Birthday

    Presidents' Day

    Memorial Day

    Independence Day

    Labor Day

    Columbus Day

    Veterans Day

    Thanksgiving

    Day after Thanksgiving

    Christmas Eve

    Christmas Day","Geolocation is 39.624412, -89.016482",Yes,Free to everyone,,,,"Computers & Internet

    WiFi

    Online court forms

    Online legal info

    Online referrals to legal help

    Printers",,No,$0.25 per page for black & white; $0.50 per page for color,,,No,,"Getting a divorce

    Changing child support payments

    Suing someone for $10,000 or less

    Being sued for $10,000 or less

    Understanding eviction as a tenant

    Getting an order of protection for domestic violence",,,,,,,,,,https://www.facebook.com/Moweaqua-Public-Library-1398954943724799/,25726,51711
51706,Free legal information and forms in Shelby County,Yes,Legal self-help center,Yes,(217) 783-2616,,,,,Yes,Fixed hours,Yes,Sunday: Closed Monday: 14:00-20:00  Tuesday: Closed Wednesday: Closed Thursday: 14:00-20:00  Friday: Closed Saturday: 8:00-12:00,,Yes,"New Year's Day

    New Year's Eve

    Martin Luther King, Jr. Day

    Lincoln's Birthday

    Washington's Birthday

    Presidents' Day

    Memorial Day

    Independence Day

    Labor Day

    Columbus Day

    Veterans Day

    Thanksgiving

    Day after Thanksgiving

    Christmas Eve

    Christmas Day",,Yes,Free to everyone,,,,"Computers & Internet

    Online court forms

    Online legal info

    Online referrals to legal help",,,,,,No,,"Getting a divorce

    Changing child support payments

    Suing someone for $10,000 or less

    Being sued for $10,000 or less

    Understanding eviction as a tenant

    Getting an order of protection for domestic violence",,,,,,,,,,http://drypointtownshiplibrary.org/Dry_Point_Township_Library/Home.html,25726,51696
51671,Free legal information and forms in Shelby County,Yes,Legal self-help center,Yes,(618) 428-5223,,,,,Yes,Fixed hours,Yes,Sunday: Closed Monday: 12:00-18:00  Tuesday: 12:00-18:00  Wednesday: Closed Thursday: 9:00-17:00  Friday: Closed Saturday: Closed,,Yes,"New Year's Day

    New Year's Eve

    Martin Luther King, Jr. Day

    Lincoln's Birthday

    Washington's Birthday

    Presidents' Day

    Memorial Day

    Independence Day

    Labor Day

    Columbus Day

    Veterans Day

    Thanksgiving

    Day after Thanksgiving

    Christmas Eve

    Christmas Day","Geolocation is 39.239384, -88.971246",Yes,Free to everyone,,,,"Computers & Internet

    WiFi

    Online court forms

    Online legal info

    Online referrals to legal help

    Website navigator

    Printers",Navigation help is provided during open hours,No,$0.20 per page,,,No,,"Getting a divorce

    Changing child support payments

    Suing someone for $10,000 or less

    Being sued for $10,000 or less

    Understanding eviction as a tenant

    Getting an order of protection for domestic violence",,,,,,,,,,https://www.facebook.com/pg/herricktownshiplibrary/about/?ref=page_internal,25726,51666
51661,Free legal information and forms in Shelby County,Yes,Legal self-help center,Yes,(217) 774-4432,,,,,Yes,Fixed hours,Yes,Sunday: Closed Monday: 9:00-19:00  Tuesday: 9:00-19:00  Wednesday: 9:00-19:00  Thursday: 9:00-19:00  Friday: 9:00-19:00  Saturday: 9:00-13:00,,Yes,"New Year's Day

    New Year's Eve

    Martin Luther King, Jr. Day

    Lincoln's Birthday

    Washington's Birthday

    Presidents' Day

    Memorial Day

    Independence Day

    Labor Day

    Columbus Day

    Veterans Day

    Thanksgiving

    Day after Thanksgiving

    Christmas Eve

    Christmas Day","Geolocation is 39.408284, -88.799436",Yes,Free to everyone,,,,"Computers & Internet

    WiFi

    Online court forms

    Online legal info

    Online referrals to legal help

    Website navigator

    Printers

    Scanners",Navigation help is available part of the time we are open (hours vary),No,$0.25 per page,No,$1.00 per page,No,,"Getting a divorce

    Changing child support payments

    Suing someone for $10,000 or less

    Being sued for $10,000 or less

    Understanding eviction as a tenant

    Getting an order of protection for domestic violence",,,,,,,,,,http://shelbyville.lib.il.us/,25726,27601
51646,Free legal information and forms in Scott County,Yes,Legal self-help center,Yes,(217) 742-3150,,,,,Yes,Fixed hours,Yes,Sunday: Closed Monday: 13:00-18:00  Tuesday: 13:00-17:00  Wednesday: 13:00-19:00  Thursday: 13:00-19:00  Friday: 13:00-17:00  Saturday: 10:00-12:00,,Yes,"New Year's Day

    New Year's Eve

    Martin Luther King, Jr. Day

    Lincoln's Birthday

    Washington's Birthday

    Presidents' Day

    Independence Day

    Labor Day

    Columbus Day

    Veterans Day

    Thanksgiving

    Day after Thanksgiving

    Christmas Eve

    Christmas Day","Geolocation is 39.550556, -90.48",Yes,Free to everyone,,,,"Computers & Internet

    WiFi

    Online court forms

    Paper court forms

    Online legal info

    Online referrals to legal help

    Website navigator

    Printers",Navigation help is provided during open hours,Yes,,,,No,,"Changing child support payments

    Forcing a parent to pay child support

    Being sued for mortgage foreclosure

    3 types of orders of protection

    Preparing, filing, and presenting motions in court

    DUI basics in Illinois",,,,,,,,,,https://www.facebook.com/Winchester-Public-Library-111755365528686/,25696,27571
51616,Free legal information and forms in Saline County,Yes,Legal self-help center,No,(618) 273-7922,,,,,Yes,Fixed hours,Yes,Sunday: 13:00-17:00  Monday: 9:00-19:00  Tuesday: 9:00-19:00  Wednesday: 9:00-19:00  Thursday: 9:00-19:00  Friday: 9:00-17:00  Saturday: 9:00-17:00,,Yes,"New Year's Day

    New Year's Eve

    Martin Luther King, Jr. Day

    Lincoln's Birthday

    Washington's Birthday

    Presidents' Day

    Memorial Day

    Independence Day

    Labor Day

    Columbus Day

    Veterans Day

    Thanksgiving

    Day after Thanksgiving

    Christmas Eve

    Christmas Day","Geolocation is 37.813759, -88.441389",Yes,Free to everyone,,,,"Computers & Internet

    WiFi

    Online court forms

    Paper court forms

    Online legal info

    Online referrals to legal help

    Website navigator

    Printers

    Scanners",Navigation help is available part of the time we are open (hours vary),No,"For legal forms, the first copy of the form is free; after that it is $0.20 per page",Yes,,No,,"Getting an order of protection for domestic violence

    Getting a divorce

    Being sued for mortgage foreclosure

    Suing someone for $10,000 or less

    Being sued for $10,000 or less

    Changing child support payments",,,,,,,,,,http://www.eldoradomemoriallibrary.com/,25676,51606
51596,Free legal information and forms in Saline  County,Yes,Legal self-help center,Yes,(618) 253-7455,,,,,Yes,Fixed hours,Yes,Sunday: 13:00-17:00  Monday: 9:00-20:00  Tuesday: 9:00-20:00  Wednesday: 9:00-20:00  Thursday: 9:00-20:00  Friday: 9:00-20:00  Saturday: 10:00-18:00,,Yes,,"Geolocation is 37.735404, -88.544975",Yes,Free to everyone,,,,"Computers & Internet

    WiFi

    Online court forms

    Paper court forms

    Online legal info

    Online referrals to legal help

    Referrals to legal aid

    Printers

    Scanners",,No,$0.10 per page,Yes,,No,,"Getting an order of protection for domestic violence

    Getting a divorce

    Being sued for mortgage foreclosure

    Suing someone for $10,000 or less

    Being sued for $10,000 or less

    Changing child support payments",,,,,,,,,,http://www.harrisburglibrary.org/,25676,27551
51586,Free legal information and forms in Rock Island County,Yes,Legal self-help center,Yes,(309) 558-3313,,,,,Yes,Fixed hours,Yes,Sunday: Closed Monday: 8:00-16:30  Tuesday: 8:00-16:30  Wednesday: 8:00-16:30  Thursday: 8:00-16:30  Friday: 8:00-16:30  Saturday: Closed,,Yes,"New Year's Day

    Martin Luther King, Jr. Day

    Lincoln's Birthday

    Presidents' Day

    Memorial Day

    Independence Day

    Labor Day

    Columbus Day

    Veterans Day

    Thanksgiving

    Day after Thanksgiving

    Christmas Eve

    Christmas Day","Geolocation is 41.487481, -90.569937",Yes,Free to everyone,,,,"Computers & Internet

    WiFi

    Online court forms

    Paper court forms

    Online legal info

    Printed legal info

    Online referrals to legal help

    Referrals to legal aid

    Website navigator

    Court navigator

    Printers",Navigation help is provided during open hours,Yes,,,,No,,"Getting a divorce

    Changing child support payments

    Suing someone for $10,000 or less

    Understanding eviction as a tenant

    Getting an order of protection for domestic violence

    Avoiding mortgage foreclosure",,,,,,,,,,http://www.rockislandcounty.org/Home.aspx,25661,27536
51576,Free legal information and forms in Richland County,Yes,Legal self-help center,Yes,(618) 392-3711,,,,,Yes,Fixed hours,Yes,Sunday: Closed Monday: 10:00-19:00  Tuesday: 10:00-19:00  Wednesday: 10:00-19:00  Thursday: 10:00-19:00  Friday: 10:00-17:00  Saturday: 10:00-17:00,,Yes,"New Year's Day

    New Year's Eve

    Martin Luther King, Jr. Day

    Lincoln's Birthday

    Washington's Birthday

    Presidents' Day

    Memorial Day

    Independence Day

    Labor Day

    Columbus Day

    Veterans Day

    Thanksgiving

    Day after Thanksgiving

    Christmas Eve

    Christmas Day","Geolocation is 38.730805, -88.084555",Yes,Free to everyone,,,,"Computers & Internet

    WiFi

    Online court forms

    Paper court forms

    Online legal info

    Printed legal info

    Online referrals to legal help

    Printers

    Scanners",,No,$0.20 per page,Yes,,No,,"Getting a divorce

    Getting child support

    Suing someone for $10,000 or less

    Being sued for $10,000 or less

    Understanding eviction as a tenant

    Preparing, filing, and presenting motions in court",,,,,,,,,,http://olneypubliclibrary.org/,25656,27531
51561,Free legal information and forms in Randolph County,Yes,Legal self-help center,Yes,(618) 826.3711,,,,,Yes,Fixed hours,Yes,Sunday: Closed Monday: 10:00-19:00  Tuesday: 10:00-19:00  Wednesday: 10:00-19:00  Thursday: 10:00-19:00  Friday: 10:00-17:00  Saturday: 8:00-13:00,,Yes,"New Year's Day

    New Year's Eve

    Martin Luther King, Jr. Day

    Lincoln's Birthday

    Washington's Birthday

    Presidents' Day

    Memorial Day

    Independence Day

    Labor Day

    Columbus Day

    Veterans Day

    Thanksgiving

    Day after Thanksgiving

    Christmas Eve

    Christmas Day","Geolocation is 37.9236, -89.81862",Yes,Free to everyone,,,,"Computers & Internet

    WiFi

    Online court forms

    Online legal info

    Online referrals to legal help

    Printers",,No,$0.25 per page,,,No,,"Expunging or sealing a criminal record

    Suing someone for $10,000 or less

    Getting a divorce

    Joint simplified divorce with no children

    Getting child support

    Changing child support payments",,,,,,,,,,http://www.chesterpubliclibrary.com/,25641,27516
51556,Free legal information and forms in Putnam County,Yes,Legal self-help center,Yes,(815) 925-7016,,,,,Yes,Fixed hours,Yes,Sunday: Closed Monday: 8:30-16:30  Tuesday: 8:30-16:30  Wednesday: 8:30-16:30  Thursday: 8:30-16:30  Friday: 8:30-16:30  Saturday: Closed,,Yes,"New Year's Day

    New Year's Eve

    Martin Luther King, Jr. Day

    Lincoln's Birthday

    Washington's Birthday

    Presidents' Day

    Memorial Day

    Independence Day

    Labor Day

    Columbus Day

    Veterans Day

    Thanksgiving

    Day after Thanksgiving

    Christmas Eve

    Christmas Day","Geolocation is 41.252075, -89.337202",Yes,Free to everyone,,,,"Computers & Internet

    WiFi

    Online court forms

    Paper court forms

    Online legal info

    Online referrals to legal help

    Website navigator

    Court navigator

    Printers",Navigation help is provided during open hours,Yes,,,,No,,"Suing someone for $10,000 or less

    Expunging or sealing a criminal record

    Changing child support payments

    Evicting a tenant

    Being sued for mortgage foreclosure

    Getting a divorce",,,,,,,,,,http://www.co.putnam.il.us/,25631,27506
51551,Free legal information and forms in Pulaski County,Yes,Legal self-help center,Yes,(618) 745-6610,,,,,Yes,Fixed hours,Yes,Sunday: Closed Monday: Closed Tuesday: 15:00-18:00  Wednesday: 15:00-18:00  Thursday: 15:00-18:00  Friday: 3:00-18:00  Saturday: 10:00-13:00,,Yes,"New Year's Day

    New Year's Eve

    Martin Luther King, Jr. Day

    Lincoln's Birthday

    Washington's Birthday

    Presidents' Day

    Memorial Day

    Independence Day

    Labor Day

    Columbus Day

    Veterans Day

    Thanksgiving

    Day after Thanksgiving

    Christmas Eve

    Christmas Day","Geolocation is 37.116221, -89.194753",Yes,Free to everyone,,,,"Computers & Internet

    WiFi

    Online court forms

    Online legal info

    Online referrals to legal help

    Website navigator

    Printers

    Scanners",Navigation help is provided during open hours,No,$0.25 per page,No,$0.25 per page,No,,"Getting an order of protection for domestic violence

    Getting a divorce

    Expunging or sealing a criminal record

    Suing someone for $10,000 or less

    Being sued for $10,000 or less

    Changing child support payments",,,,,,,,,,https://www.facebook.com/Mounds-Public-Library-1456307834672359/timeline,25626,27501
51546,Free legal information and forms in Pope County,Yes,Legal self-help center,Yes,(618) 683-6531,,,,,Yes,Fixed hours,Yes,Sunday: Closed Monday: 9:00-17:00  Tuesday: 9:00-17:00  Wednesday: 13:00-17:00  Thursday: 9:00-13:00  Friday: 13:00-17:00  Saturday: 9:00-12:00,,Yes,"New Year's Day

    New Year's Eve

    Martin Luther King, Jr. Day

    Presidents' Day

    Memorial Day

    Independence Day

    Labor Day

    Columbus Day

    Veterans Day

    Thanksgiving

    Day after Thanksgiving

    Christmas Eve","Geolocation is 37.357533, -88.488804",Yes,Free to everyone,,,,"Computers & Internet

    WiFi

    Online court forms

    Paper court forms

    Online legal info

    Online referrals to legal help

    Website navigator

    Printers",Navigation help is provided during open hours,Yes,,,,No,,"Getting an order of protection for domestic violence

    Getting a divorce

    Understanding eviction as a tenant

    Suing someone for $10,000 or less

    Being sued for $10,000 or less

    Changing child support payments",,,,,,,,,,http://golcondapubliclibrary.tripod.com/index.html,25591,27466
51536,Free legal information and forms in Perry County,Yes,Legal self-help center,Yes,(618) 542-5045,,,,,Yes,Fixed hours,Yes,Sunday: Closed Monday: 11:00-19:00  Tuesday: 11:00-19:00  Wednesday: 11:00-19:00  Thursday: 11:00-19:00  Friday: 11:00-17:00  Saturday: Closed,,Yes,"New Year's Day

    New Year's Eve

    Martin Luther King, Jr. Day

    Lincoln's Birthday

    Washington's Birthday

    Presidents' Day

    Memorial Day

    Independence Day

    Labor Day

    Columbus Day

    Veterans Day

    Thanksgiving

    Day after Thanksgiving

    Christmas Eve

    Christmas Day","Geolocation is 38.009216, -89.237329",Yes,Free to everyone,,,,"Computers & Internet

    Online court forms

    Online legal info

    Printed legal info

    Online referrals to legal help

    Website navigator

    Printers",Navigation help is provided during open hours,No,$0.25 for some printouts; printouts from reference questions are free,,,No,,"Joint simplified divorce with no children

    Changing child support payments

    Being sued for $10,000 or less

    Evicting a tenant

    Being sued for mortgage foreclosure

    Expunging or sealing a criminal record",,,,,,,,,,http://duquoinlibrary.org/,25571,51531
51526,Free legal information and forms in Perry County,Yes,Legal self-help center,Yes,(618) 357-2410,,,,,Yes,Fixed hours,Yes,Sunday: Closed Monday: 12:00-18:00  Tuesday: 12:00-17:00  Wednesday: 12:00-18:00  Thursday: 12:00-17:00  Friday: 10:00-13:00  Saturday: 9:00-13:00,,Yes,"New Year's Day

    New Year's Eve

    Martin Luther King, Jr. Day

    Lincoln's Birthday

    Washington's Birthday

    Presidents' Day

    Memorial Day

    Independence Day

    Labor Day

    Columbus Day

    Veterans Day

    Thanksgiving

    Day after Thanksgiving

    Christmas Eve

    Christmas Day","Geolocation is 38.078533, -89.388584",Yes,Free to everyone,,,,"Computers & Internet

    WiFi

    Online court forms

    Online legal info

    Online referrals to legal help

    Printers",,No,$0.20 per page,,,No,,"Joint simplified divorce with no children

    Changing child support payments

    Being sued for $10,000 or less

    Evicting a tenant

    Being sued for mortgage foreclosure

    Expunging or sealing a criminal record",,,,,,,,,,http://pinckneyvillelibrary.com/,25571,27446
51521,Free legal information and forms in Peoria County,Yes,Legal self-help center,Yes,(309) 672-6084,,,,,Yes,Fixed hours,Yes,Sunday: Closed Monday: 8:30-17:00  Tuesday: 8:30-17:00  Wednesday: 8:30-17:00  Thursday: 8:30-17:00  Friday: 8:30-17:00  Saturday: Closed,,Yes,"New Year's Day

    Presidents' Day

    Memorial Day

    Independence Day

    Labor Day

    Thanksgiving

    Day after Thanksgiving

    Christmas Eve

    Christmas Day","Geolocation is 40.682781, -89.601876",Yes,Free to everyone,,,,"Computers & Internet

    WiFi

    Online court forms

    Paper court forms

    Online legal info

    Printed legal info

    Online referrals to legal help

    Referrals to legal aid

    Website navigator

    Court navigator

    Printers

    Scanners

    ""Lawyer in the library"" program",Navigation help is available part of the time the LSHC is open on a regular schedule,No,$.20/page unless an approved fee waiver is provided,Yes,,No,,"Getting a divorce

    Getting an order of protection for domestic violence

    Expunging or sealing a criminal record

    Suing someone for $10,000 or less

    Being sued for mortgage foreclosure

    Being sued for $10,000 or less",,,,,,,,,,http://10thcircuitcourtil.org/175/Self-Help-Information,25566,27441
51516,Free legal information and forms in Ogle County,Yes,Legal self-help center,Yes,(815) 732-3201,,,,,Yes,Fixed hours,Yes,Sunday: Closed Monday: 8:30-16:30  Tuesday: 8:30-16:30  Wednesday: 8:30-16:30  Thursday: 8:30-16:30  Friday: 8:30-16:30  Saturday: Closed,,Yes,"New Year's Day

    Martin Luther King, Jr. Day

    Lincoln's Birthday

    Washington's Birthday

    Memorial Day

    Independence Day

    Labor Day

    Columbus Day

    Veterans Day

    Thanksgiving

    Day after Thanksgiving

    Christmas Day","Geolocation is 42.002186, -89.338593",Yes,Free to everyone,,,,"Computers & Internet

    WiFi

    Online court forms

    Paper court forms

    Online legal info

    Online referrals to legal help

    Website navigator

    Court navigator

    Printers

    Scanners",Navigation help is provided during open hours,Yes,,Yes,,No,,"Getting a divorce

    Getting an order of protection for domestic violence

    Being sued for mortgage foreclosure

    Suing someone for $10,000 or less

    Being sued for $10,000 or less

    Understanding eviction as a tenant",,,,,,,,,,http://oglecounty.org/,25541,27416
51511,Free legal information and forms in Moultrie County,Yes,Legal self-help center,Yes,(217) 873-4468,,,,,Yes,Fixed hours,Yes,Sunday: Closed Monday: 10:00-20:00  Tuesday: 13:00-18:00  Wednesday: 13:00-18:00  Thursday: 10:00-13:00  Friday: 10:00-18:00  Saturday: 10:00-13:00,,Yes,"New Year's Day

    New Year's Eve

    Martin Luther King, Jr. Day

    Lincoln's Birthday

    Washington's Birthday

    Presidents' Day

    Memorial Day

    Independence Day

    Labor Day

    Columbus Day

    Veterans Day

    Thanksgiving

    Day after Thanksgiving

    Christmas Eve

    Christmas Day","Geolocation is 39.711745, -88.639682",Yes,Free to everyone,,,,"Computers & Internet

    WiFi

    Online court forms

    Online legal info

    Online referrals to legal help

    Referrals to legal aid

    Printers",,Yes,,,,No,,"Getting a divorce

    Forcing a parent to pay child support

    Getting an order of protection for domestic violence

    Being sued for mortgage foreclosure

    Evicting a tenant

    Expunging or sealing a criminal record",,,,,,,,,,http://www.lovingtonpld.us,25481,51506
51501,Free legal information and forms in Moultrie County,Yes,Legal self-help center,Yes,(217) 665-3014,,,,,Yes,Fixed hours,Yes,Sunday: Closed Monday: 9:00-20:00  Tuesday: 9:00-18:00  Wednesday: 9:00-18:00  Thursday: 9:00-18:00  Friday: 9:00-18:00  Saturday: 10:00-16:00,,Yes,"New Year's Day

    New Year's Eve

    Martin Luther King, Jr. Day

    Lincoln's Birthday

    Washington's Birthday

    Presidents' Day

    Memorial Day

    Independence Day

    Labor Day

    Columbus Day

    Veterans Day

    Thanksgiving

    Day after Thanksgiving

    Christmas Eve

    Christmas Day","Geolocation is 39.64671, -88.736185",Yes,Free to everyone,,,,"Computers & Internet

    WiFi

    Online court forms

    Online legal info

    Online referrals to legal help

    Website navigator

    Printers",Navigation help is provided during open hours,No,$0.15 per page,,,No,,"Getting a divorce

    Forcing a parent to pay child support

    Getting an order of protection for domestic violence

    Being sued for mortgage foreclosure

    Evicting a tenant

    Expunging or sealing a criminal record",,,,,,,,,,http://marrowbonepld.com/,25481,51496
51491,Free legal information and forms in Moultrie County,Yes,Legal self-help center,Yes,(217) 543-2037,,,,,Yes,Fixed hours,Yes,Sunday: Closed Monday: 9:00-20:00  Tuesday: 9:00-20:00  Wednesday: 9:00-20:00  Thursday: 9:00-20:00  Friday: 9:00-17:00  Saturday: 9:00-17:00,,Yes,"New Year's Day

    New Year's Eve

    Memorial Day

    Independence Day

    Labor Day

    Thanksgiving

    Christmas Eve

    Christmas Day","Geolocation is 39.703333, -88.391111",Yes,Free to everyone,,,,"Computers & Internet

    WiFi

    Online court forms

    Online legal info

    Online referrals to legal help

    Website navigator

    Printers

    Scanners",Navigation help is provided during open hours,No,$0.10 per page,Yes,,No,,"Getting a divorce

    Forcing a parent to pay child support

    Getting an order of protection for domestic violence

    Being sued for mortgage foreclosure

    Evicting a tenant

    Expunging or sealing a criminal record",,,,,,,,,,http://www.arthurlibrary.org/,25481,51486
51476,Free legal information and forms in Morgan County,Yes,Legal self-help center,Yes,(217) 243-5435,,,,,Yes,Fixed hours,Yes,Sunday: Closed Monday: 9:00-21:00  Tuesday: 9:00-21:00  Wednesday: 9:00-21:00  Thursday: 9:00-21:00  Friday: 9:00-18:00  Saturday: 9:00-17:00,,Yes,"New Year's Day

    New Year's Eve

    Martin Luther King, Jr. Day

    Lincoln's Birthday

    Washington's Birthday

    Presidents' Day

    Memorial Day

    Independence Day

    Labor Day

    Columbus Day

    Veterans Day

    Thanksgiving

    Day after Thanksgiving

    Christmas Eve

    Christmas Day","Geolocation is 39.730959, -90.238625",Yes,Free to everyone,,,,"Computers & Internet

    Online court forms

    Online legal info

    Online referrals to legal help

    Referrals to legal aid

    Website navigator

    Printers",Navigation help is provided during open hours,No,$0.10 per page,,,No,,"Getting an order of protection for domestic violence

    Getting a divorce

    Expunging or sealing a criminal record

    Suing someone for $10,000 or less

    Being sued for $10,000 or less

    Changing child support payments",,,,,,,,,,http://www.jaxpl.org/,25476,27351
51466,Free legal information and forms in Montgomery County,Yes,Legal self-help center,Yes,(217) 229-4471,,,,,Yes,Fixed hours,Yes,Sunday: Closed Monday: 11:00-18:00  Tuesday: 11:00-17:00  Wednesday: 11:00-20:00  Thursday: 11:00-17:00  Friday: 11:00-16:00  Saturday: 9:00-12:00,,Yes,"New Year's Day

    New Year's Eve

    Martin Luther King, Jr. Day

    Presidents' Day

    Memorial Day

    Independence Day

    Labor Day

    Columbus Day

    Veterans Day

    Thanksgiving

    Day after Thanksgiving

    Christmas Eve

    Christmas Day","Geolocation is 39.322024, -89.572809",Yes,Free to everyone,,,,"Computers & Internet

    Online court forms

    Online legal info

    Online referrals to legal help",,,,,,No,,"Getting a divorce

    Changing child support payments

    Forcing a parent to pay child support

    Suing someone for $10,000 or less

    Getting an order of protection for domestic violence

    Being sued for mortgage foreclosure",,,,,,,,,,http://www.doylepubliclibrary.org/,25471,51461
51456,Free legal information and forms in Montgomery County,Yes,Legal self-help center,Yes,(240) 777-9120,,,,,Yes,Fixed hours,Yes,Sunday: Closed Monday: 8:00-17:30  Tuesday: 8:00-17:30  Wednesday: 8:00-17:30  Thursday: 8:00-17:30  Friday: 8:00-17:30  Saturday: Closed,,Yes,"New Year's Day

    New Year's Eve

    Martin Luther King, Jr. Day

    Presidents' Day

    Memorial Day

    Independence Day

    Labor Day

    Columbus Day

    Veterans Day

    Thanksgiving

    Christmas Eve

    Christmas Day","Geolocation is 39.155644, -89.482574",Yes,Free to everyone,,,,"Computers & Internet

    Online court forms

    Online legal info

    Online referrals to legal help

    Printers",,Yes,,,,No,,"Getting a divorce

    Changing child support payments

    Forcing a parent to pay child support

    Suing someone for $10,000 or less

    Getting an order of protection for domestic violence

    Being sued for mortgage foreclosure",,,,,,,,,,http://www.montgomerycountymd.gov/circuitcourt/court/lawlibrary/lawlibrary.html,25471,51436
