service_uuid,organization_name,organization_uuid,service_name,service_alternate_name,service_description,service_email,service_url,service_additional_information,service_min_age,service_max_age,service_program,service_income_limit,service_problem_codes,service_require_veteran,service_military_status,service_immigration_status,service_incarceration_status,service_areas,,
5b71a6ce-6d68-4af3-8d09-329443ca458b,Community Legal Services of Mid Florida,ed286ee2-4176-4e58-902a-f65d089838fe,Domestic Violence,Domestic Violence,CLSMF provides its clients with essential services by collaborating with community-based organizations and its legal support staff that are dedicated to helping victims of domestic violence and individuals who live in fear of future domestic violence in the household.,Info@clsmf.org,https://clsmf.org/services/domestic-violence/,,,,Family-DV,,Abuse & Neglect; Divorce/Separation/Annulment; Domestic Violence,false,,,,Brevard County; Citrus County; Flagler County; Hernando County; Lake County; Marion County; Orange County; Osceola County; Putnam County; Seminole County; Sumter County; Volusia County,,
5b71a792-e3e8-438a-9725-558d43ca458b,Community Legal Services of Mid Florida,ed286ee2-4176-4e58-902a-f65d089838fe,Elder Advocacy,Elder Abuse,"CLSMF Elder Advocates assist seniors (individuals over the age of 60) who have been subjected to physical abuse, financial exploitation through the misuse of the elder’s money or property by another person, intimidation, sexual abuse, or is deprived by a caregiver of food or needed medication or necessary services for survival.",Info@clsmf.org,https://clsmf.org/services/seniors/,,55,,Elder Abuse,,Abuse & Neglect; Other Civil Rights,false,,,,Brevard County; Citrus County; Flagler County; Hernando County; Lake County; Marion County; Orange County; Osceola County; Putnam County; Seminole County; Sumter County; Volusia County,,
5b6db58c-3c60-482e-a0fa-4b1f43ca458b,Community Legal Services of Mid Florida,ed286ee2-4176-4e58-902a-f65d089838fe,Family,Family Law,Attorneys at Community Legal Services of Mid-Florida (CLSMF) provide legal advice and representation to victims of recent domestic violence who are involved in custody litigation or Dissolution of Marriage (divorce) cases. CLSMF also extends its services to those who have not yet become victims of domestic violence but who have a reasonable fear of becoming a victim of domestic violence and are involved in cases where custody or divorce is an issue. This may include parents of children who are at risk of being abused or neglected.,Info@clsmf.org,https://clsmf.org/services/family-law/,,,,Family-DV,,Abuse & Neglect; Custody; Domestic Violence,false,,,,Brevard County; Citrus County; Flagler County; Hernando County; Lake County; Marion County; Orange County; Osceola County; Putnam County; Seminole County; Sumter County; Volusia County,,
5b609dd3-0d44-470b-bcb4-407c43ca458b,Community Legal Services of Mid Florida,ed286ee2-4176-4e58-902a-f65d089838fe,Helpline,Helpline,Centralized intake for 12 counties and inbound referrals,Info@clsmf.org,https://clsmf.org/apply-for-help/call-our-helpline/,"Consumer, Family, Renter's Rights, Housing Preservation, Housing Counseling, Public Benefits, Veteran's Benefits, Childrens Rights",,,Helpline,,Adoption; Bankruptcy; Child Support; Collection/Repossession; Contracts/Warranties; Custody; Discrimination; Divorce/Separation/Annulment; Domestic Violence; Employment Discrimination; Estate Planning; Fair Debt Collection Practices Act; Federally Subsidized Housing; Food Stamps; Foreclosure; Guardianship & Conservatorship; Homeownership; Loans/Installment Purchases/Rentals; Medicaid; Medicare; Mobile Home Issues; Mortgages; Other Consumer; Other Landlord/Tenant; Other Public Housing; Paternity; Powers of attorney/advance directives/living wills; Public Utilities / Energy; Social Security; Social Security Disability Benefits; Special Education/Learning Disabilities; Supplemental Security Income (SSI); TANF; Veterans benefits; Wage Claims,,,,,Brevard County; Citrus County; Flagler County; Hernando County; Lake County; Marion County; Orange County; Osceola County; Putnam County; Seminole County; Volusia County,,
5b6db92a-a7c0-4e2c-bfbe-44a843ca458b,Community Legal Services of Mid Florida,ed286ee2-4176-4e58-902a-f65d089838fe,Housing,Fair Housing,"Community Legal Services of Mid-Florida provides legal representation and advice to homeowners and renters on a wide range of legal issues including foreclosures, mortgage scams, landlord tenant disputes, subsidized housing, fair lending and fair housing, and more.",Info@clsmf.org,https://clsmf.org/services/housing/,,,,Housing Counseling,,Discrimination; Federally Subsidized Housing; Foreclosure; Homeownership; Mortgages; Other Housing; Other Landlord/Tenant; Other Public Housing,false,,,,Brevard County; Citrus County; Flagler County; Hernando County; Lake County; Marion County; Orange County; Osceola County; Putnam County; Seminole County; Sumter County; Volusia County,,
5bb793ad-47dc-4a28-b2e5-47f943ca458b,Community Legal Services of Mid Florida,ed286ee2-4176-4e58-902a-f65d089838fe,Medical-Legal Partnership,Health + Legal Care,Physicians and lawyers work together to address a patient’s healthcare needs that cannot be remedied by medicine alone.  MLP attorneys work alongside a member of the healthcare team to screen for health-harming legal needs,Info@clsmf.org,https://clsmf.org/statewide-mlp-project/,,,,Medical-Legal Partnership,,Other,false,,,,Brevard County; Citrus County; Flagler County; Hernando County; Lake County; Marion County; Orange County; Osceola County; Putnam County; Seminole County; Sumter County; Volusia County,,
5b51fe7c-af44-4aec-86fb-168643ca458b,Community Legal Services of Mid Florida,ed286ee2-4176-4e58-902a-f65d089838fe,Pro Bono Legal Advice Clinics & Workshops,Legal Advice Clinics & Workshops,"In an effort to help more residents who cannot afford an attorney solve their civil legal problems, Community Legal Services of Mid-Florida (CLSMF) hosts ongoing free Legal Advice Clinics and Workshops throughout the year. The attorneys who facilitate Clinics and Workshops have volunteered to work for free as part of CLSMF’s Volunteer Lawyer Project.",Info@clsmf.org,https://clsmf.org/pro-bono-legal-advice-clinics-workshops/,,,,Pro Bono,,Foreclosure,false,,,,Brevard County; Citrus County; Flagler County; Hernando County; Lake County; Marion County; Orange County; Osceola County; Putnam County; Seminole County; Sumter County; Volusia County,,
5bb78bc5-5aac-4681-8e81-d9fc43ca458b,Community Legal Services of Mid Florida,ed286ee2-4176-4e58-902a-f65d089838fe,Public Benefits,Public Benefits Law,"CLSMF Public Benefits attorneys, paralegals and advocates help eligible residents of Central Florida access public benefits, including health care, cash assistance, food assistance and disability benefits.",Info@clsmf.org,https://clsmf.org/services/public-benefits/,,,,Public Benefits,,Food Stamps; Medicaid; Medicare; Social Security Disability Benefits; Unemployment Compensation; Veterans benefits,false,,,,Bradford County; Citrus County; Flagler County; Hernando County; Lake County; Marion County; Orange County; Osceola County; Putnam County; Seminole County; Sumter County; Volusia County,,
5bb79853-1ebc-4a43-a25a-448343ca458b,Community Legal Services of Mid Florida,ed286ee2-4176-4e58-902a-f65d089838fe,Veterans,Veterans Advocacy Project,"Veterans find the legal help that they need at CLSMF, where our trained attorneys represent them before the Department of Veterans Affairs (VA). Our attorneys help cut through the red tape so that veterans can get the benefits they earned through their military service. Our attorneys provide legal advice, counsel, referral, education, and representation to low-income veterans, free of charge. Our mission is to ensure that the lives of those who have served our country are enriched as a result of legal assistance.",Info@clsmf.org,https://clsmf.org/services/veterans/,,,,,,Other Civil Rights; Veterans benefits,false,,,,Brevard County; Citrus County; Flagler County; Hernando County; Lake County; Madison County; Orange County; Osceola County; Putnam County; Seminole County; Sumter County; Volusia County,,
5b845892-bdc8-4bcd-8fbc-345ed0502007,"Florida Legal Services, Inc.",c5573d56-fefd-48f0-8b30-23c6c0ca6877,Child Support Modification,,Pilot project of 2018 is limited to those in the Orange County Jail. We can assist with child support modifications for those who are in the pilot facility.,maryrose@floridalegal.org,,No office referrals. Phone and electronic/LegalServer referrals only.,,,,,Child Support,false,,,Incarcerated - serving sentence in Jail/Other,Orange County,,
5bb7b005-2bf4-4fad-bf98-53fed0502007,"Florida Legal Services, Inc.",c5573d56-fefd-48f0-8b30-23c6c0ca6877,Disabled Veterans Benefits,,Assisting incarcerated veterans with obtaining benefits for service connected disability benefits.,,,No office referrals. Phone or electronic (LegalServer) referrals only.,,,,,Veterans benefits,true,,,,Alachua County; Baker County; Bay County; Bradford County; Brevard County; Broward County; Calhoun County; Charlotte County; Citrus County; Clay County; Collier County; Columbia County; DeSoto County; Dixie County; Duval County; Escambia County; Flagler County; Franklin County; Gadsden County; Gilchrist County; Glades County; Gulf County; Hamilton County; Hardee County; Hendry County; Hernando County; Highlands County; Hillsborough County; Holmes County; Indian River County; Jackson County; Jefferson County; Lafayette County; Lake County; Lee County; Leon County; Levy County; Liberty County; Madison County; Manatee County; Marion County; Martin County; Miami-Dade County; Monroe County; Nassau County; Okaloosa County; Okeechobee County; Orange County; Osceola County; Palm Beach County; Pasco County; Pinellas County; Polk County; Putnam County; Santa Rosa County; Sarasota County; Seminole County; St. Johns County; St. Lucie County; Sumter County; Suwannee County; Taylor County; Union County; Volusia County; Wakulla County; Walton County; Washington County,,
5b845734-ee2c-4203-bc4a-2e71d0502007,"Florida Legal Services, Inc.",c5573d56-fefd-48f0-8b30-23c6c0ca6877,Domestic Violence Hotline,,The Florida Coalition Against Domestic Violence funds this statewide hotline for victims of domestic violence. Our attorneys conduct phone interviews and counsel and advice services.,,http://www.floridalegal.org/dv-advocacy,Phone assistance only. There are no income or citizenship limitations for eligibility. This is not for injunction assistance.,,,DV Hotline,,Domestic Violence,false,,,,Alachua County; Baker County; Bay County; Bradford County; Brevard County; Broward County; Calhoun County; Charlotte County; Citrus County; Clay County; Collier County; Columbia County; DeSoto County; Dixie County; Duval County; Escambia County; Flagler County; Franklin County; Gadsden County; Gilchrist County; Glades County; Gulf County; Hamilton County; Hardee County; Hendry County; Hernando County; Highlands County; Hillsborough County; Holmes County; Indian River County; Jackson County; Jefferson County; Lafayette County; Lake County; Lee County; Leon County; Levy County; Liberty County; Madison County; Manatee County; Marion County; Martin County; Miami-Dade County; Monroe County; Nassau County; Okaloosa County; Okeechobee County; Orange County; Osceola County; Palm Beach County; Pasco County; Pinellas County; Polk County; Putnam County; Santa Rosa County; Sarasota County; Seminole County; St. Johns County; St. Lucie County; Sumter County; Suwannee County; Taylor County; Union County; Volusia County; Wakulla County; Walton County; Washington County,,
5bb7be18-29d0-408b-9a8c-255ed0502007,"Florida Legal Services, Inc.",c5573d56-fefd-48f0-8b30-23c6c0ca6877,Ending Juvenile Solitary Confinement,,,,,No office referrals. Phone or electronic (LegalServer) referrals only.,,,,,Civil Rights,,,,Incarcerated - serving sentence in Jail/Other; Incarcerated - serving sentence in State Prison,Alachua County; Baker County; Bay County; Bradford County; Brevard County; Broward County; Calhoun County; Charlotte County; Citrus County; Clay County; Collier County; Columbia County; DeSoto County; Dixie County; Duval County; Escambia County; Flagler County; Franklin County; Gadsden County; Gilchrist County; Glades County; Gulf County; Hamilton County; Hardee County; Hendry County; Hernando County; Highlands County; Hillsborough County; Holmes County; Indian River County; Jackson County; Jefferson County; Lafayette County; Lake County; Lee County; Leon County; Levy County; Liberty County; Madison County; Manatee County; Marion County; Martin County; Miami-Dade County; Monroe County; Nassau County; Okaloosa County; Okeechobee County; Orange County; Osceola County; Palm Beach County; Pasco County; Pinellas County; Polk County; Putnam County; Santa Rosa County; Sarasota County; Seminole County; St. Johns County; St. Lucie County; Sumter County; Suwannee County; Taylor County; Union County; Volusia County; Wakulla County; Walton County; Washington County,,
5b8459e1-d314-45b1-8c43-4312d0502007,"Florida Legal Services, Inc.",c5573d56-fefd-48f0-8b30-23c6c0ca6877,Florida Institutional Legal Services Project,FILS,"Our FILS Project represents juveniles, immigrants, inmates, prisoners and other detainees in a wide variety of state and federal institutions, including juvenile and immigration detention centers.",andrea@floridalegal.org,,"Intake by mail can be sent to:   Florida Legal Services  PO Box 533986  Orlando, FL 32853",,,,,Civil Rights; Disability Rights; Immigration; Mental Health Rights,false,,,,Alachua County; Baker County; Bay County; Bradford County; Brevard County; Broward County; Calhoun County; Charlotte County; Citrus County; Clay County; Collier County; Columbia County; DeSoto County; Dixie County; Duval County; Escambia County; Flagler County; Franklin County; Gadsden County; Gilchrist County; Glades County; Gulf County; Hamilton County; Hardee County; Hendry County; Hernando County; Highlands County; Hillsborough County; Holmes County; Indian River County; Jackson County; Jefferson County; Lafayette County; Lake County; Lee County; Leon County; Levy County; Liberty County; Madison County; Manatee County; Marion County; Martin County; Miami-Dade County; Monroe County; Nassau County; Okaloosa County; Okeechobee County; Orange County; Osceola County; Palm Beach County; Pasco County; Pinellas County; Polk County; Putnam County; Santa Rosa County; Sarasota County; Seminole County; St. Johns County; St. Lucie County; Sumter County; Suwannee County; Taylor County; Union County; Volusia County; Wakulla County; Walton County; Washington County,,
5b8457ed-dbf4-4f99-ba1a-3255d0502007,"Florida Legal Services, Inc.",c5573d56-fefd-48f0-8b30-23c6c0ca6877,Hurricane Legal Relief,Disaster Assistance,Statewide assistance for housing or other legal issues that are still affecting survivors of Hurricanes Irma and Maria. No income or citizenship eligibility screening.,delmarie.alicea@floridalegal.org,,No walk-ins to any office. Phone or electronic LegalServer referrals only.,,,DRLC,,,false,,,,Alachua County; Baker County; Bay County; Bradford County; Brevard County; Broward County; Calhoun County; Charlotte County; Citrus County; Clay County; Collier County; Columbia County; DeSoto County; Dixie County; Duval County; Escambia County; Flagler County; Franklin County; Gadsden County; Gilchrist County; Glades County; Gulf County; Hamilton County; Hardee County; Hendry County; Hernando County; Highlands County; Hillsborough County; Holmes County; Indian River County; Jackson County; Jefferson County; Lafayette County; Lake County; Lee County; Leon County; Levy County; Liberty County; Madison County; Manatee County; Marion County; Martin County; Miami-Dade County; Monroe County; Nassau County; Okaloosa County; Okeechobee County; Orange County; Osceola County; Palm Beach County; Pasco County; Pinellas County; Polk County; Putnam County; Santa Rosa County; Sarasota County; Seminole County; St. Johns County; St. Lucie County; Sumter County; Suwannee County; Taylor County; Union County; Volusia County; Wakulla County; Walton County; Washington County,,
5bb7ab28-c3c0-4847-b8cb-30d1d0502007,"Florida Legal Services, Inc.",c5573d56-fefd-48f0-8b30-23c6c0ca6877,Migrant Farmworkers,,"Provides legal assistance to farmworkers in Florida to prevent economic and other exploitation, including workers under the H-2A and H-2B visa programs, and represents clients with work-related legal issues in federal and state courts or administrative proceedings.",,,No office referrals. Phone or electronic (LegalServer) referrals only.,,,Immigrant & Migrant Rights Project,,Immigration,,,,,Alachua County; Baker County; Bay County; Bradford County; Brevard County; Broward County; Calhoun County; Charlotte County; Citrus County; Clay County; Collier County; Columbia County; DeSoto County; Dixie County; Duval County; Escambia County; Flagler County; Franklin County; Gadsden County; Gilchrist County; Glades County; Gulf County; Hamilton County; Hardee County; Hendry County; Hernando County; Highlands County; Hillsborough County; Holmes County; Indian River County; Jackson County; Jefferson County; Lafayette County; Lake County; Lee County; Leon County; Levy County; Liberty County; Madison County; Manatee County; Marion County; Martin County; Miami-Dade County; Monroe County; Nassau County; Okaloosa County; Okeechobee County; Orange County; Osceola County; Palm Beach County; Pasco County; Pinellas County; Polk County; Putnam County; Santa Rosa County; Sarasota County; Seminole County; St. Johns County; St. Lucie County; Sumter County; Suwannee County; Taylor County; Union County; Volusia County; Wakulla County; Walton County; Washington County,,
5bb7bac0-beb8-45cb-8f96-11dad0502007,"Florida Legal Services, Inc.",c5573d56-fefd-48f0-8b30-23c6c0ca6877,Prescription Drug Helpline,,"800-436-6001    Our Prescription Drug Helpline is a statewide, toll-free helpline which provides assistance to Medicaid and low-income Medicare beneficiaries whose necessary medications have been denied. Our services include assistance relating to prior authorization requirements, assistance to patients and physicians with acquiring an immediate, temporary supply of the denied medication, representation by an attorney at a fair hearing, and other advice and assistance by phone.",,http://www.floridalegal.org/prescription-drug-helpline,No office referrals. Phone or electronic (LegalServer) referrals only.,,,,,Other Health,,,,,Alachua County; Baker County; Bay County; Bradford County; Brevard County; Broward County; Calhoun County; Charlotte County; Citrus County; Clay County; Collier County; Columbia County; DeSoto County; Dixie County; Duval County; Escambia County; Flagler County; Franklin County; Gadsden County; Gilchrist County; Glades County; Gulf County; Hamilton County; Hardee County; Hendry County; Hernando County; Highlands County; Hillsborough County; Holmes County; Indian River County; Jackson County; Jefferson County; Lafayette County; Lake County; Lee County; Leon County; Levy County; Liberty County; Madison County; Manatee County; Marion County; Martin County; Miami-Dade County; Monroe County; Nassau County; Okaloosa County; Okeechobee County; Orange County; Osceola County; Palm Beach County; Pasco County; Pinellas County; Polk County; Putnam County; Santa Rosa County; Sarasota County; Seminole County; St. Johns County; St. Lucie County; Sumter County; Suwannee County; Taylor County; Union County; Volusia County; Wakulla County; Walton County; Washington County,,
5bb7c1c0-d11c-49a6-936d-372fd0502007,"Florida Legal Services, Inc.",c5573d56-fefd-48f0-8b30-23c6c0ca6877,Public Benefits/Safety Nets for Low Income Floridians,,This project assists people having trouble accessing SNAP/TANF. We are prioritizing seniors.,,,No office referrals. Phone or electronic (LegalServer) referrals only.,,,,,Food Stamps; TANF,,,,,Alachua County; Baker County; Bay County; Bradford County; Brevard County; Broward County; Calhoun County; Charlotte County; Citrus County; Clay County; Collier County; Columbia County; DeSoto County; Dixie County; Duval County; Escambia County; Flagler County; Franklin County; Gadsden County; Gilchrist County; Glades County; Gulf County; Hamilton County; Hardee County; Hendry County; Hernando County; Highlands County; Hillsborough County; Holmes County; Indian River County; Jackson County; Jefferson County; Lafayette County; Lake County; Lee County; Leon County; Levy County; Liberty County; Madison County; Manatee County; Marion County; Martin County; Miami-Dade County; Monroe County; Nassau County; Okaloosa County; Okeechobee County; Orange County; Osceola County; Palm Beach County; Pasco County; Pinellas County; Polk County; Putnam County; Santa Rosa County; Sarasota County; Seminole County; St. Johns County; St. Lucie County; Sumter County; Suwannee County; Taylor County; Union County; Volusia County; Wakulla County; Walton County; Washington County,,
5bb79c8a-5114-4499-b914-6351d0502007,"Florida Legal Services, Inc.",c5573d56-fefd-48f0-8b30-23c6c0ca6877,Reentry Housing,,Assisting individual clients who we can represent in litigation to affect policies which prevent people with any criminal history from being eligible for housing.,natalie@floridalegal.org,,No office referrals. Phone or electronic (LegalServer) referrals only.,,,,,Discrimination; Federally Subsidized Housing; Homeownership; Mobile Home Issues; Other Housing; Other Landlord/Tenant; Other Public Housing,false,,,Not in custody and no conditions; Post-Disposition Release - Out on Parole; Post-Disposition Release - Out on Probation; Pretrial release = Out on Bond; Pretrial release = Out on own recognizance,Alachua County; Baker County; Bay County; Bradford County; Brevard County; Broward County; Calhoun County; Charlotte County; Citrus County; Clay County; Collier County; Columbia County; DeSoto County; Dixie County; Duval County; Escambia County; Flagler County; Franklin County; Gadsden County; Gilchrist County; Glades County; Gulf County; Hamilton County; Hardee County; Hendry County; Hernando County; Highlands County; Hillsborough County; Holmes County; Indian River County; Jackson County; Jefferson County; Lafayette County; Lake County; Lee County; Leon County; Levy County; Liberty County; Madison County; Manatee County; Marion County; Martin County; Miami-Dade County; Monroe County; Nassau County; Okaloosa County; Okeechobee County; Orange County; Osceola County; Palm Beach County; Pasco County; Pinellas County; Polk County; Putnam County; Santa Rosa County; Sarasota County; Seminole County; St. Johns County; St. Lucie County; Sumter County; Suwannee County; Taylor County; Union County; Volusia County; Wakulla County; Walton County; Washington County,,
5bb7c128-bb74-4baf-81f9-34d2d0502007,"Florida Legal Services, Inc.",c5573d56-fefd-48f0-8b30-23c6c0ca6877,Rural Putnam County Immigrant Family Outreach,,Community lawyering.,joseph@floridalegal.org,,No office referrals. Phone or electronic (LegalServer) referrals only.,,,Immigrant & Migrant Rights Project,,Immigration; Other Family,,,,,Putnam County,,
5bb7b611-4afc-40bd-ae5d-741dd0502007,"Florida Legal Services, Inc.",c5573d56-fefd-48f0-8b30-23c6c0ca6877,Social Security Disability Reentry Advocacy,,"The goals of the SSDR are to obtain Social Security benefits for the critically mental and physical disabled individuals being released daily from Florida’s prison system.  The Florida Department of Corrections fails to identify individuals who will be unable to work due to physical and mental disability.  The FDOC is permitted to file Social Security applications on behalf of individuals who are unable to work within 120 days of the inmates's proposed release.  Since FDOC fails to identify many individuals who may be eligible for social security disability benefits, FLS will work with halfway houses and homeless shelters to identify individuals who have not been identified by the Florida Department of Corrections.  The goal of the project is to reduce recidivism by providing the individual re entering society with a steady income to integrate back into society.",,,No office referrals. Phone or electronic (LegalServer) referrals only.,,,Social Security (Fee Generating),,Civil Rights; Social Security; Social Security Disability Benefits; Veterans benefits,,,,,Alachua County; Baker County; Bay County; Bradford County; Brevard County; Broward County; Calhoun County; Charlotte County; Citrus County; Clay County; Collier County; Columbia County; DeSoto County; Dixie County; Duval County; Escambia County; Flagler County; Franklin County; Gadsden County; Gilchrist County; Glades County; Gulf County; Hamilton County; Hardee County; Hendry County; Hernando County; Highlands County; Hillsborough County; Holmes County; Indian River County; Jackson County; Jefferson County; Lafayette County; Lake County; Lee County; Leon County; Levy County; Liberty County; Madison County; Manatee County; Marion County; Martin County; Miami-Dade County; Monroe County; Nassau County; Okaloosa County; Okeechobee County; Orange County; Osceola County; Palm Beach County; Pasco County; Pinellas County; Polk County; Putnam County; Santa Rosa County; Sarasota County; Seminole County; St. Johns County; St. Lucie County; Sumter County; Suwannee County; Taylor County; Union County; Volusia County; Wakulla County; Walton County; Washington County,,
5bb759ef-f584-4513-93e8-7bdad0502007,"Florida Rural Legal Services, Inc.",981fadb3-f441-4d9f-9442-5cfc5cf3e3c5,Benefits Cases,,Unemployment Compensation; Social Security-SSA Denial of Application; Social Security-SSDI-Denial of Application; Social Security-SSI Denial of Application; SSDI and SSI Termination; SSDI or SSI Overpayment; Food Stamps- Denial of Application; Food Stamp Overpayment; TANF (Welfare)-Denial of Application; TANF (Welfare)-Termination of Benefits; TANF (Welfare)-Overpayment; Veteran’s Benefits- Denial of Application; Veteran’s Benefits-Overpayment; Veteran’s Benefits-Termination; Medicaid or Medical Needy Coverage; Medicare Coverage; Medicaid Trusts; Med Waiver and/or I Budget Benefit Denials; FEMA Benefits-Denial; FEMA Benefits-Overpayment; FEMA Benefits-Overpayment; Pension/Insurance Policy Claims,adviceline@frls.org,www.frls.org,,,,General,200,Children's Health Insurance Programs; Food Stamps; Health Insurance; Medicaid; Medicare; Social Security; Social Security Disability Benefits; Supplemental Security Income (SSI); TANF; Unemployment Compensation; Veterans benefits,,,"Applying for VAWA self-petition; Asylee; Domestic Violence (with Related Case); Granted Suspension of  Deportation/Withholding of Removal; Has unmarried U.S. Citizen child under 21; Indigent foreign national seeking assistance under Hague Convention or related federal law (international child abduction); Lawful Permanent Resident (LPR); Married to US Citizen-with pending or approved adjustment of status (green card) application; Parent of a victim of criminal activity (eligible for U Visa)- (victim must be under 21); Parent of minor victim/survivor of battery, extreme cruelty, or sexual assault (including domestic/intimate partner violence); Parent of US Citizen with a pending or approved adjustment of status (green card) application; Parents of a victim of trafficking (victim must be under 21); Special Agricultural Worker Temporary Resident  - SAW (with related case); Spouse or children of a victim of criminal activity/U Visa eligible applicant; Spouse or children of a victim of trafficking; United States Citizen; Unmarried child under 21 of a US Citizen with a pending or approved adjustment of status (green card) application; Unmarried siblings under 18 of a victim of criminal activity (eligible for U Visa) (victim must be under 21); Unmarried siblings under 18 of a victim of trafficking (victim must be under 21); VAWA; Victim of Criminal Activity (eligible for U Visa); Victim of Trafficking  (18 and over); Victim of Trafficking (under 18); Victim/Survivor of battery,extreme cruelty,or sexual assault (including domestic / family / intimate partner violence); With U.S. Citizen Parent",Not in custody and no conditions; Post-Disposition Release - Out on Parole; Post-Disposition Release - Out on Probation; Pretrial detention (bail/bond not available); Pretrial detention (eligible for bail/bond); Pretrial release = Out on Bond; Pretrial release = Out on own recognizance,Charlotte County; DeSoto County; Glades County; Hardee County; Hendry County; Highlands County; Indian River County; Lee County; Martin County; Okeechobee County; Palm Beach County; Polk County; St. Lucie County,,
5bb51e0e-c338-40d6-a8af-6ed2d0502007,"Florida Rural Legal Services, Inc.",981fadb3-f441-4d9f-9442-5cfc5cf3e3c5,Consumer Law Cases,,Garnishment; Collections-Consumer Credit; Collections-Medical Debts; Automobile Repossession; Chapter 13 /Chapter 7 Bankruptcy; Unfair Debt Collection Practices; Student Loan Issues; Credit Report Corrections,adviceline@frls.org,www.frls.org,,,,General,200,Bankruptcy; Collection/Repossession; Contracts/Warranties; Fair Debt Collection Practices Act; Loans/Installment Purchases/Rentals; Other Consumer; Predatory Lending; Unfair and Deceptive Trade Practices,false,,"Applying for VAWA self-petition; Asylee; Domestic Violence (with Related Case); Granted Suspension of  Deportation/Withholding of Removal; Has unmarried U.S. Citizen child under 21; Lawful Permanent Resident (LPR); Married to US Citizen-with pending or approved adjustment of status (green card) application; Parent of a victim of criminal activity (eligible for U Visa)- (victim must be under 21); Parent of minor victim/survivor of battery, extreme cruelty, or sexual assault (including domestic/intimate partner violence); Parent of US Citizen with a pending or approved adjustment of status (green card) application; Parents of a victim of trafficking (victim must be under 21); Refugee; Special Agricultural Worker Temporary Resident  - SAW (with related case); Spouse or children of a victim of criminal activity/U Visa eligible applicant; Spouse or children of a victim of trafficking; United States Citizen; Unmarried child under 21 of a US Citizen with a pending or approved adjustment of status (green card) application; Unmarried siblings under 18 of a victim of criminal activity (eligible for U Visa) (victim must be under 21); Unmarried siblings under 18 of a victim of trafficking (victim must be under 21); VAWA; Victim of Criminal Activity (eligible for U Visa); Victim of Trafficking  (18 and over); Victim of Trafficking (under 18); Victim/Survivor of battery,extreme cruelty,or sexual assault (including domestic / family / intimate partner violence); With U.S. Citizen Parent",Not in custody and no conditions; Post-Disposition Release - Out on Parole; Post-Disposition Release - Out on Probation; Pretrial detention (bail/bond not available); Pretrial detention (eligible for bail/bond); Pretrial release = Out on Bond; Pretrial release = Out on own recognizance,Charlotte County; DeSoto County; Hardee County; Hendry County; Highlands County; Indian River County; Lee County; Martin County; Okeechobee County; Palm Beach County; Polk County; St. Lucie County,,
5bb760f1-8ecc-455c-b94d-1586d0502007,"Florida Rural Legal Services, Inc.",981fadb3-f441-4d9f-9442-5cfc5cf3e3c5,Drive to Work,Driver’s License Restoration,Driver’s License Restoration,adviceline@frls.org,www.frls.org,,,,,200,License (Auto & Others),false,,"Applying for VAWA self-petition; Asylee; Domestic Violence (with Related Case); Granted Suspension of  Deportation/Withholding of Removal; Has unmarried U.S. Citizen child under 21; Lawful Permanent Resident (LPR); Married to US Citizen-with pending or approved adjustment of status (green card) application; Parent of a victim of criminal activity (eligible for U Visa)- (victim must be under 21); Parent of minor victim/survivor of battery, extreme cruelty, or sexual assault (including domestic/intimate partner violence); Parent of US Citizen with a pending or approved adjustment of status (green card) application; Parents of a victim of trafficking (victim must be under 21); Refugee; Special Agricultural Worker Temporary Resident  - SAW (with related case); Spouse or children of a victim of criminal activity/U Visa eligible applicant; Spouse or children of a victim of trafficking; United States Citizen; Unmarried child under 21 of a US Citizen with a pending or approved adjustment of status (green card) application; Unmarried siblings under 18 of a victim of criminal activity (eligible for U Visa) (victim must be under 21); Unmarried siblings under 18 of a victim of trafficking (victim must be under 21); VAWA; Victim of Criminal Activity (eligible for U Visa); Victim of Trafficking  (18 and over); Victim of Trafficking (under 18); Victim/Survivor of battery,extreme cruelty,or sexual assault (including domestic / family / intimate partner violence); With U.S. Citizen Parent",Not in custody and no conditions; Post-Disposition Release - Out on Parole; Post-Disposition Release - Out on Probation,Charlotte County; Glades County; Hardee County; Hendry County; Highlands County; Indian River County; Lee County; Martin County; Okeechobee County; Palm Beach County; Polk County; St. Lucie County,,
